member_id,legacy_member_id,migration_batch_id,migration_date,migration_status,migration_flag,migration_source_system
MBR_00029,LEG_000029,BATCH_5,2023-04-02,Completed,N,legacy_B
MBR_00030,LEG_000030,BATCH_3,2025-07-27,Reprocessed,N,legacy_A
MBR_00031,LEG_000031,BATCH_1,2024-12-17,Reprocessed,Y,legacy_A
MBR_00032,LEG_000032,BATCH_3,2024-03-06,Completed,N,legacy_B
MBR_00033,LEG_000033,BATCH_5,2025-07-30,Completed,N,legacy_A
MBR_00034,LEG_000034,BATCH_1,2025-10-02,Completed,N,legacy_A
MBR_00035,LEG_000035,BATCH_5,2023-10-03,Failed,N,legacy_B
MBR_00036,LEG_000036,BATCH_2,2025-11-28,Completed,N,legacy_B
MBR_00037,LEG_000037,BATCH_2,2023-07-17,Completed,N,legacy_B
MBR_00038,LEG_000038,BATCH_4,2023-10-06,Completed,Y,legacy_B
MBR_00039,LEG_000039,BATCH_5,2025-06-04,Reprocessed,Y,legacy_A
MBR_00040,LEG_000040,BATCH_4,2025-04-11,Reprocessed,Y,legacy_A
MBR_00041,LEG_000041,BATCH_4,2025-06-11,Failed,Y,legacy_A
MBR_00042,LEG_000042,BATCH_4,2023-08-04,Failed,Y,legacy_A
MBR_00043,LEG_000043,BATCH_1,2025-12-11,Reprocessed,N,legacy_A
MBR_00044,LEG_000044,BATCH_4,2023-01-10,Completed,Y,legacy_A
MBR_00045,LEG_000045,BATCH_1,2024-08-14,Failed,N,legacy_A
MBR_00046,LEG_000046,BATCH_1,2023-11-19,Reprocessed,N,legacy_A
MBR_00047,LEG_000047,BATCH_5,2025-04-12,Completed,N,legacy_A
MBR_00048,LEG_000048,BATCH_1,2023-03-12,Reprocessed,Y,legacy_B
MBR_00049,LEG_000049,BATCH_4,2025-10-23,Reprocessed,Y,legacy_A
MBR_00050,LEG_000050,BATCH_5,2024-01-30,Completed,Y,legacy_A
MBR_00051,LEG_000051,BATCH_1,2024-03-18,Failed,N,legacy_A
MBR_00052,LEG_000052,BATCH_1,2025-02-28,Failed,Y,legacy_A
MBR_00053,LEG_000053,BATCH_5,2025-07-16,Failed,N,legacy_A
MBR_00054,LEG_000054,BATCH_1,2025-09-18,Reprocessed,Y,legacy_A
MBR_00055,LEG_000055,BATCH_2,2023-01-02,Reprocessed,N,legacy_B
MBR_00056,LEG_000056,BATCH_1,2023-12-13,Reprocessed,Y,legacy_B
MBR_00057,LEG_000057,BATCH_4,2024-06-18,Completed,N,legacy_A
MBR_00058,LEG_000058,BATCH_1,2023-11-02,Completed,N,legacy_B
MBR_00059,LEG_000059,BATCH_3,2024-04-24,Failed,Y,legacy_A
MBR_00060,LEG_000060,BATCH_3,2024-04-11,Completed,N,legacy_B
MBR_00061,LEG_000061,BATCH_3,2025-07-28,Reprocessed,N,legacy_B
MBR_00062,LEG_000062,BATCH_5,2025-07-17,Reprocessed,N,legacy_A
MBR_00063,LEG_000063,BATCH_4,2024-12-03,Reprocessed,Y,legacy_A
MBR_00064,LEG_000064,BATCH_2,2024-09-21,Reprocessed,Y,legacy_A
MBR_00065,LEG_000065,BATCH_3,2023-08-18,Reprocessed,N,legacy_B
MBR_00066,LEG_000066,BATCH_2,2023-05-11,Completed,Y,legacy_A
MBR_00067,LEG_000067,BATCH_3,2023-02-02,Reprocessed,Y,legacy_A
MBR_00068,LEG_000068,BATCH_3,2024-07-04,Completed,N,legacy_B
MBR_00069,LEG_000069,BATCH_4,2023-12-18,Completed,N,legacy_A
MBR_00070,LEG_000070,BATCH_2,2023-01-31,Reprocessed,Y,legacy_A
MBR_00071,LEG_000071,BATCH_5,2024-11-30,Reprocessed,N,legacy_B
MBR_00072,LEG_000072,BATCH_5,2025-03-16,Reprocessed,Y,legacy_B
MBR_00073,LEG_000073,BATCH_2,2025-06-14,Reprocessed,Y,legacy_B
MBR_00074,LEG_000074,BATCH_1,2024-04-03,Completed,Y,legacy_A
MBR_00075,LEG_000075,BATCH_2,2025-09-09,Failed,Y,legacy_A
MBR_00076,LEG_000076,BATCH_2,2025-11-25,Completed,N,legacy_A
MBR_00077,LEG_000077,BATCH_1,2024-08-21,Failed,Y,legacy_A
MBR_00078,LEG_000078,BATCH_1,2024-05-20,Reprocessed,Y,legacy_A
MBR_00079,LEG_000079,BATCH_4,2025-03-22,Completed,Y,legacy_A
MBR_00080,LEG_000080,BATCH_3,2023-04-26,Failed,Y,legacy_A
MBR_00081,LEG_000081,BATCH_1,2025-04-03,Failed,Y,legacy_A
MBR_00082,LEG_000082,BATCH_5,2025-11-28,Failed,Y,legacy_A
MBR_00083,LEG_000083,BATCH_4,2024-12-29,Failed,Y,legacy_A
MBR_00084,LEG_000084,BATCH_1,2025-08-18,Reprocessed,Y,legacy_A
MBR_00085,LEG_000085,BATCH_1,2025-07-09,Completed,N,legacy_A
MBR_00086,LEG_000086,BATCH_5,2025-12-24,Completed,Y,legacy_A
MBR_00087,LEG_000087,BATCH_5,2023-06-05,Failed,Y,legacy_A
MBR_00088,LEG_000088,BATCH_4,2024-05-15,Completed,N,legacy_B
MBR_00089,LEG_000089,BATCH_2,2024-12-11,Failed,Y,legacy_B
MBR_00090,LEG_000090,BATCH_5,2025-04-01,Failed,N,legacy_B
MBR_00091,LEG_000091,BATCH_5,2024-12-30,Failed,Y,legacy_B
MBR_00092,LEG_000092,BATCH_3,2024-02-01,Failed,Y,legacy_A
MBR_00093,LEG_000093,BATCH_3,2025-02-17,Reprocessed,Y,legacy_A
MBR_00094,LEG_000094,BATCH_1,2024-04-23,Failed,N,legacy_B
MBR_00095,LEG_000095,BATCH_4,2023-11-30,Failed,N,legacy_A
MBR_00096,LEG_000096,BATCH_3,2024-08-19,Failed,N,legacy_A
MBR_00097,LEG_000097,BATCH_2,2024-03-12,Failed,Y,legacy_B
MBR_00098,LEG_000098,BATCH_2,2023-10-18,Completed,N,legacy_B
MBR_00099,LEG_000099,BATCH_2,2024-09-11,Reprocessed,Y,legacy_A
MBR_00100,LEG_000100,BATCH_1,2023-07-22,Completed,Y,legacy_A
MBR_00101,LEG_000101,BATCH_4,2024-11-03,Failed,Y,legacy_A
MBR_00102,LEG_000102,BATCH_1,2025-12-12,Completed,N,legacy_A
MBR_00103,LEG_000103,BATCH_2,2023-04-30,Completed,Y,legacy_A
MBR_00104,LEG_000104,BATCH_4,2025-06-16,Reprocessed,Y,legacy_B
MBR_00105,LEG_000105,BATCH_3,2023-07-21,Reprocessed,Y,legacy_B
MBR_00106,LEG_000106,BATCH_5,2024-11-19,Failed,N,legacy_B
MBR_00107,LEG_000107,BATCH_1,2024-09-18,Failed,Y,legacy_A
MBR_00108,LEG_000108,BATCH_5,2025-12-05,Failed,Y,legacy_A
MBR_00109,LEG_000109,BATCH_1,2024-12-26,Failed,N,legacy_A
MBR_00110,LEG_000110,BATCH_1,2023-08-23,Reprocessed,N,legacy_A
MBR_00111,LEG_000111,BATCH_4,2023-07-28,Reprocessed,Y,legacy_A
MBR_00112,LEG_000112,BATCH_4,2023-01-05,Failed,Y,legacy_A
MBR_00113,LEG_000113,BATCH_1,2023-05-24,Failed,Y,legacy_A
MBR_00114,LEG_000114,BATCH_2,2025-01-14,Failed,Y,legacy_B
MBR_00115,LEG_000115,BATCH_4,2023-01-07,Completed,N,legacy_A
MBR_00116,LEG_000116,BATCH_1,2024-09-11,Reprocessed,N,legacy_A
MBR_00117,LEG_000117,BATCH_1,2025-01-25,Failed,Y,legacy_B
MBR_00118,LEG_000118,BATCH_3,2024-08-03,Failed,N,legacy_A
MBR_00119,LEG_000119,BATCH_2,2023-07-04,Reprocessed,Y,legacy_A
MBR_00120,LEG_000120,BATCH_3,2023-02-26,Reprocessed,Y,legacy_B
MBR_00121,LEG_000121,BATCH_3,2025-01-21,Completed,N,legacy_B
MBR_00122,LEG_000122,BATCH_2,2024-03-16,Completed,N,legacy_B
MBR_00123,LEG_000123,BATCH_2,2025-04-15,Completed,Y,legacy_A
MBR_00124,LEG_000124,BATCH_3,2023-03-19,Reprocessed,Y,legacy_A
MBR_00125,LEG_000125,BATCH_3,2023-04-11,Completed,Y,legacy_A
MBR_00126,LEG_000126,BATCH_3,2025-08-14,Completed,Y,legacy_A
MBR_00127,LEG_000127,BATCH_4,2025-02-25,Failed,N,legacy_B
MBR_00128,LEG_000128,BATCH_3,2023-10-21,Completed,Y,legacy_A
MBR_00129,LEG_000129,BATCH_3,2024-08-12,Reprocessed,N,legacy_A
MBR_00130,LEG_000130,BATCH_5,2024-12-05,Completed,N,legacy_A
MBR_00131,LEG_000131,BATCH_4,2023-07-20,Failed,Y,legacy_A
MBR_00132,LEG_000132,BATCH_3,2025-04-28,Failed,Y,legacy_A
MBR_00133,LEG_000133,BATCH_5,2023-06-18,Reprocessed,Y,legacy_B
MBR_00134,LEG_000134,BATCH_3,2023-05-21,Completed,N,legacy_B
MBR_00135,LEG_000135,BATCH_3,2024-04-18,Failed,Y,legacy_A
MBR_00136,LEG_000136,BATCH_1,2024-12-19,Failed,N,legacy_A
MBR_00137,LEG_000137,BATCH_4,2025-12-20,Failed,Y,legacy_A
MBR_00138,LEG_000138,BATCH_4,2023-05-23,Reprocessed,N,legacy_A
MBR_00139,LEG_000139,BATCH_5,2024-05-29,Failed,Y,legacy_B
MBR_00140,LEG_000140,BATCH_3,2023-12-03,Completed,N,legacy_A
MBR_00141,LEG_000141,BATCH_5,2024-11-15,Failed,N,legacy_A
MBR_00142,LEG_000142,BATCH_3,2024-12-08,Failed,Y,legacy_A
MBR_00143,LEG_000143,BATCH_5,2023-10-02,Completed,Y,legacy_A
MBR_00144,LEG_000144,BATCH_5,2024-09-18,Failed,N,legacy_B
MBR_00145,LEG_000145,BATCH_5,2024-01-01,Reprocessed,N,legacy_A
MBR_00146,LEG_000146,BATCH_3,2023-03-09,Completed,N,legacy_A
MBR_00147,LEG_000147,BATCH_1,2025-10-25,Failed,Y,legacy_A
MBR_00148,LEG_000148,BATCH_5,2023-09-27,Reprocessed,N,legacy_A
MBR_00149,LEG_000149,BATCH_3,2024-10-06,Reprocessed,Y,legacy_B
MBR_00150,LEG_000150,BATCH_3,2025-09-06,Failed,N,legacy_A
MBR_00151,LEG_000151,BATCH_3,2024-07-08,Failed,Y,legacy_B
MBR_00152,LEG_000152,BATCH_3,2023-11-05,Completed,N,legacy_A
MBR_00153,LEG_000153,BATCH_2,2025-04-08,Completed,N,legacy_A
MBR_00154,LEG_000154,BATCH_2,2024-12-26,Completed,Y,legacy_A
MBR_00155,LEG_000155,BATCH_5,2025-12-09,Reprocessed,N,legacy_A
MBR_00156,LEG_000156,BATCH_5,2024-02-03,Failed,Y,legacy_A
MBR_00157,LEG_000157,BATCH_5,2024-03-28,Failed,Y,legacy_A
MBR_00158,LEG_000158,BATCH_2,2025-05-27,Reprocessed,N,legacy_A
MBR_00159,LEG_000159,BATCH_4,2025-10-26,Reprocessed,N,legacy_A
MBR_00160,LEG_000160,BATCH_2,2024-11-09,Reprocessed,N,legacy_A
MBR_00161,LEG_000161,BATCH_4,2024-06-23,Completed,Y,legacy_B
MBR_00162,LEG_000162,BATCH_1,2024-05-28,Reprocessed,N,legacy_A
MBR_00163,LEG_000163,BATCH_2,2024-09-22,Reprocessed,Y,legacy_A
MBR_00164,LEG_000164,BATCH_5,2023-11-26,Completed,Y,legacy_A
MBR_00165,LEG_000165,BATCH_1,2025-05-24,Completed,N,legacy_A
MBR_00166,LEG_000166,BATCH_4,2025-09-23,Failed,Y,legacy_A
MBR_00167,LEG_000167,BATCH_5,2024-05-08,Failed,Y,legacy_B
MBR_00168,LEG_000168,BATCH_1,2023-03-20,Failed,N,legacy_A
MBR_00169,LEG_000169,BATCH_2,2023-03-01,Reprocessed,Y,legacy_B
MBR_00170,LEG_000170,BATCH_1,2024-05-09,Completed,Y,legacy_A
MBR_00171,LEG_000171,BATCH_4,2023-12-23,Failed,Y,legacy_A
MBR_00172,LEG_000172,BATCH_3,2023-10-13,Failed,N,legacy_B
MBR_00173,LEG_000173,BATCH_3,2024-06-27,Failed,Y,legacy_B
MBR_00174,LEG_000174,BATCH_5,2023-07-21,Reprocessed,N,legacy_A
MBR_00175,LEG_000175,BATCH_4,2023-04-14,Reprocessed,Y,legacy_A
MBR_00176,LEG_000176,BATCH_1,2025-03-04,Completed,N,legacy_A
MBR_00177,LEG_000177,BATCH_5,2024-07-21,Reprocessed,Y,legacy_A
MBR_00178,LEG_000178,BATCH_1,2023-03-19,Completed,Y,legacy_B
MBR_00179,LEG_000179,BATCH_2,2025-02-28,Reprocessed,N,legacy_B
MBR_00180,LEG_000180,BATCH_2,2025-08-14,Completed,Y,legacy_A
MBR_00181,LEG_000181,BATCH_5,2025-03-22,Completed,N,legacy_B
MBR_00182,LEG_000182,BATCH_2,2024-09-03,Reprocessed,Y,legacy_A
MBR_00183,LEG_000183,BATCH_1,2024-09-15,Completed,Y,legacy_A
MBR_00184,LEG_000184,BATCH_3,2025-12-18,Completed,Y,legacy_A
MBR_00185,LEG_000185,BATCH_1,2025-12-14,Reprocessed,Y,legacy_B
MBR_00186,LEG_000186,BATCH_4,2025-12-05,Reprocessed,Y,legacy_A
MBR_00187,LEG_000187,BATCH_4,2024-02-20,Completed,N,legacy_A
MBR_00188,LEG_000188,BATCH_3,2023-06-02,Reprocessed,N,legacy_B
MBR_00189,LEG_000189,BATCH_4,2025-01-05,Failed,N,legacy_A
MBR_00190,LEG_000190,BATCH_2,2025-09-27,Completed,N,legacy_A
MBR_00191,LEG_000191,BATCH_2,2023-08-14,Reprocessed,Y,legacy_A
MBR_00192,LEG_000192,BATCH_2,2025-08-09,Failed,Y,legacy_B
MBR_00193,LEG_000193,BATCH_3,2023-12-12,Failed,Y,legacy_B
MBR_00194,LEG_000194,BATCH_4,2023-02-21,Failed,Y,legacy_A
MBR_00195,LEG_000195,BATCH_5,2024-07-24,Failed,N,legacy_A
MBR_00196,LEG_000196,BATCH_1,2024-11-22,Completed,N,legacy_B
MBR_00197,LEG_000197,BATCH_2,2023-09-06,Completed,N,legacy_B
MBR_00198,LEG_000198,BATCH_1,2024-04-27,Failed,N,legacy_A
MBR_00199,LEG_000199,BATCH_1,2025-09-20,Reprocessed,N,legacy_A
MBR_00200,LEG_000200,BATCH_3,2023-02-14,Failed,Y,legacy_B
MBR_00201,LEG_000201,BATCH_2,2023-09-18,Completed,N,legacy_B
MBR_00202,LEG_000202,BATCH_5,2023-02-18,Completed,N,legacy_B
MBR_00203,LEG_000203,BATCH_5,2023-08-24,Completed,N,legacy_A
MBR_00204,LEG_000204,BATCH_5,2024-09-19,Completed,Y,legacy_B
MBR_00205,LEG_000205,BATCH_5,2023-11-29,Completed,Y,legacy_B
MBR_00206,LEG_000206,BATCH_2,2023-06-13,Completed,Y,legacy_B
MBR_00207,LEG_000207,BATCH_5,2024-03-01,Completed,Y,legacy_B
MBR_00208,LEG_000208,BATCH_1,2025-08-11,Failed,N,legacy_A
MBR_00209,LEG_000209,BATCH_3,2023-08-09,Failed,Y,legacy_A
MBR_00210,LEG_000210,BATCH_4,2024-11-14,Completed,N,legacy_B
MBR_00211,LEG_000211,BATCH_5,2024-03-02,Reprocessed,Y,legacy_B
MBR_00212,LEG_000212,BATCH_2,2023-10-28,Completed,Y,legacy_B
MBR_00213,LEG_000213,BATCH_2,2023-09-28,Reprocessed,N,legacy_A
MBR_00214,LEG_000214,BATCH_1,2023-01-19,Completed,Y,legacy_A
MBR_00215,LEG_000215,BATCH_2,2023-12-16,Completed,Y,legacy_A
MBR_00216,LEG_000216,BATCH_4,2025-09-19,Reprocessed,N,legacy_A
MBR_00217,LEG_000217,BATCH_5,2025-10-29,Completed,Y,legacy_A
MBR_00218,LEG_000218,BATCH_3,2025-12-30,Reprocessed,Y,legacy_A
MBR_00219,LEG_000219,BATCH_2,2025-10-09,Reprocessed,N,legacy_A
MBR_00220,LEG_000220,BATCH_4,2025-12-10,Failed,N,legacy_B
MBR_00221,LEG_000221,BATCH_2,2025-02-22,Reprocessed,Y,legacy_A
MBR_00222,LEG_000222,BATCH_4,2024-01-04,Failed,Y,legacy_A
MBR_00223,LEG_000223,BATCH_2,2024-04-12,Reprocessed,Y,legacy_A
MBR_00224,LEG_000224,BATCH_5,2023-02-17,Failed,Y,legacy_A
MBR_00225,LEG_000225,BATCH_3,2023-01-07,Reprocessed,N,legacy_A
MBR_00226,LEG_000226,BATCH_5,2024-01-08,Completed,N,legacy_A
MBR_00227,LEG_000227,BATCH_2,2024-05-30,Completed,N,legacy_A
MBR_00228,LEG_000228,BATCH_5,2024-11-18,Reprocessed,N,legacy_B
MBR_00229,LEG_000229,BATCH_1,2025-03-14,Completed,Y,legacy_A
MBR_00230,LEG_000230,BATCH_1,2025-02-25,Failed,N,legacy_A
MBR_00231,LEG_000231,BATCH_1,2024-03-18,Reprocessed,N,legacy_A
MBR_00232,LEG_000232,BATCH_5,2025-10-23,Reprocessed,N,legacy_A
MBR_00233,LEG_000233,BATCH_4,2025-09-10,Failed,Y,legacy_B
MBR_00234,LEG_000234,BATCH_1,2025-12-20,Reprocessed,Y,legacy_A
MBR_00235,LEG_000235,BATCH_4,2025-11-14,Failed,N,legacy_A
MBR_00236,LEG_000236,BATCH_2,2024-01-10,Reprocessed,N,legacy_A
MBR_00237,LEG_000237,BATCH_5,2024-08-05,Failed,N,legacy_A
MBR_00238,LEG_000238,BATCH_3,2025-02-22,Completed,N,legacy_A
MBR_00239,LEG_000239,BATCH_1,2025-09-23,Completed,Y,legacy_A
MBR_00240,LEG_000240,BATCH_1,2025-08-08,Completed,Y,legacy_B
MBR_00241,LEG_000241,BATCH_4,2023-07-28,Reprocessed,Y,legacy_A
MBR_00242,LEG_000242,BATCH_3,2025-04-02,Failed,N,legacy_A
MBR_00243,LEG_000243,BATCH_3,2025-09-15,Completed,Y,legacy_A
MBR_00244,LEG_000244,BATCH_1,2024-04-06,Completed,Y,legacy_A
MBR_00245,LEG_000245,BATCH_1,2024-02-08,Failed,Y,legacy_B
MBR_00246,LEG_000246,BATCH_2,2024-12-23,Reprocessed,Y,legacy_A
MBR_00247,LEG_000247,BATCH_2,2024-11-22,Reprocessed,N,legacy_A
MBR_00248,LEG_000248,BATCH_5,2024-02-29,Failed,N,legacy_A
MBR_00249,LEG_000249,BATCH_5,2023-06-28,Completed,Y,legacy_B
MBR_00250,LEG_000250,BATCH_5,2023-10-17,Failed,Y,legacy_A
MBR_00251,LEG_000251,BATCH_5,2023-09-17,Completed,Y,legacy_A
MBR_00252,LEG_000252,BATCH_1,2023-10-12,Completed,N,legacy_A
MBR_00253,LEG_000253,BATCH_2,2023-10-05,Failed,Y,legacy_A
MBR_00254,LEG_000254,BATCH_4,2025-10-09,Completed,N,legacy_A
MBR_00255,LEG_000255,BATCH_3,2024-08-19,Completed,Y,legacy_A
MBR_00256,LEG_000256,BATCH_4,2023-10-24,Completed,Y,legacy_A
MBR_00257,LEG_000257,BATCH_4,2023-03-17,Failed,Y,legacy_B
MBR_00258,LEG_000258,BATCH_5,2024-09-19,Failed,N,legacy_B
MBR_00259,LEG_000259,BATCH_4,2024-11-18,Reprocessed,Y,legacy_A
MBR_00260,LEG_000260,BATCH_4,2025-07-03,Failed,Y,legacy_B
MBR_00261,LEG_000261,BATCH_1,2024-10-12,Failed,Y,legacy_B
MBR_00262,LEG_000262,BATCH_1,2025-09-23,Reprocessed,Y,legacy_A
MBR_00263,LEG_000263,BATCH_5,2025-02-24,Failed,N,legacy_B
MBR_00264,LEG_000264,BATCH_5,2023-08-04,Completed,Y,legacy_B
MBR_00265,LEG_000265,BATCH_4,2023-12-17,Reprocessed,Y,legacy_B
MBR_00266,LEG_000266,BATCH_2,2025-05-03,Completed,Y,legacy_A
MBR_00267,LEG_000267,BATCH_3,2024-12-27,Failed,N,legacy_A
MBR_00268,LEG_000268,BATCH_2,2025-09-27,Completed,Y,legacy_A
MBR_00269,LEG_000269,BATCH_3,2024-01-28,Failed,N,legacy_A
MBR_00270,LEG_000270,BATCH_5,2025-11-21,Reprocessed,Y,legacy_A
MBR_00271,LEG_000271,BATCH_3,2023-08-09,Completed,N,legacy_A
MBR_00272,LEG_000272,BATCH_4,2023-02-10,Reprocessed,Y,legacy_A
MBR_00273,LEG_000273,BATCH_5,2025-06-07,Completed,N,legacy_A
MBR_00274,LEG_000274,BATCH_1,2024-01-10,Completed,N,legacy_A
MBR_00275,LEG_000275,BATCH_3,2024-06-22,Reprocessed,N,legacy_A
MBR_00276,LEG_000276,BATCH_1,2025-07-08,Reprocessed,N,legacy_B
MBR_00277,LEG_000277,BATCH_4,2023-09-24,Completed,N,legacy_B
MBR_00278,LEG_000278,BATCH_1,2024-07-10,Completed,N,legacy_A
MBR_00279,LEG_000279,BATCH_5,2024-06-13,Reprocessed,Y,legacy_A
MBR_00280,LEG_000280,BATCH_4,2023-09-09,Completed,Y,legacy_B
MBR_00281,LEG_000281,BATCH_1,2024-03-24,Completed,Y,legacy_B
MBR_00282,LEG_000282,BATCH_1,2023-12-27,Completed,N,legacy_B
MBR_00283,LEG_000283,BATCH_4,2024-09-07,Completed,Y,legacy_B
MBR_00284,LEG_000284,BATCH_3,2024-05-08,Failed,N,legacy_A
MBR_00285,LEG_000285,BATCH_1,2025-08-14,Completed,Y,legacy_B
MBR_00286,LEG_000286,BATCH_4,2025-07-24,Failed,N,legacy_A
MBR_00287,LEG_000287,BATCH_4,2023-03-26,Failed,Y,legacy_B
MBR_00288,LEG_000288,BATCH_4,2025-11-28,Failed,N,legacy_A
MBR_00289,LEG_000289,BATCH_5,2025-04-01,Completed,Y,legacy_A
MBR_00290,LEG_000290,BATCH_4,2025-06-26,Completed,N,legacy_B
MBR_00291,LEG_000291,BATCH_1,2023-01-22,Completed,N,legacy_B
MBR_00292,LEG_000292,BATCH_5,2025-07-24,Failed,N,legacy_A
MBR_00293,LEG_000293,BATCH_3,2025-09-06,Reprocessed,N,legacy_A
MBR_00294,LEG_000294,BATCH_4,2024-04-16,Failed,Y,legacy_A
MBR_00295,LEG_000295,BATCH_1,2025-12-09,Failed,N,legacy_B
MBR_00296,LEG_000296,BATCH_3,2023-04-17,Failed,N,legacy_B
MBR_00297,LEG_000297,BATCH_2,2025-04-02,Failed,Y,legacy_A
MBR_00298,LEG_000298,BATCH_3,2025-03-21,Completed,N,legacy_A
MBR_00299,LEG_000299,BATCH_1,2023-02-10,Failed,N,legacy_A
MBR_00300,LEG_000300,BATCH_4,2023-08-30,Failed,N,legacy_B
MBR_00301,LEG_000301,BATCH_4,2024-02-15,Completed,N,legacy_A
MBR_00302,LEG_000302,BATCH_1,2024-07-29,Reprocessed,Y,legacy_A
MBR_00303,LEG_000303,BATCH_1,2025-12-27,Completed,Y,legacy_A
MBR_00304,LEG_000304,BATCH_2,2024-02-10,Reprocessed,Y,legacy_A
MBR_00305,LEG_000305,BATCH_2,2025-05-26,Completed,N,legacy_A
MBR_00306,LEG_000306,BATCH_3,2023-08-29,Reprocessed,N,legacy_A
MBR_00307,LEG_000307,BATCH_4,2024-02-28,Completed,Y,legacy_A
MBR_00308,LEG_000308,BATCH_2,2025-02-13,Completed,N,legacy_A
MBR_00309,LEG_000309,BATCH_3,2025-10-06,Completed,Y,legacy_B
MBR_00310,LEG_000310,BATCH_5,2025-04-25,Failed,N,legacy_B
MBR_00311,LEG_000311,BATCH_1,2023-10-30,Completed,Y,legacy_A
MBR_00312,LEG_000312,BATCH_2,2023-01-03,Reprocessed,Y,legacy_B
MBR_00313,LEG_000313,BATCH_3,2025-03-04,Failed,N,legacy_A
MBR_00314,LEG_000314,BATCH_2,2023-03-15,Failed,Y,legacy_A
MBR_00315,LEG_000315,BATCH_4,2025-10-14,Reprocessed,Y,legacy_A
MBR_00316,LEG_000316,BATCH_4,2024-08-06,Failed,Y,legacy_A
MBR_00317,LEG_000317,BATCH_1,2025-01-07,Reprocessed,N,legacy_B
MBR_00318,LEG_000318,BATCH_3,2024-01-29,Failed,Y,legacy_A
MBR_00319,LEG_000319,BATCH_2,2023-08-20,Completed,N,legacy_A
MBR_00320,LEG_000320,BATCH_3,2023-04-29,Completed,Y,legacy_A
MBR_00321,LEG_000321,BATCH_1,2025-06-12,Failed,N,legacy_A
MBR_00322,LEG_000322,BATCH_3,2024-10-18,Failed,Y,legacy_B
MBR_00323,LEG_000323,BATCH_4,2023-07-25,Reprocessed,Y,legacy_B
MBR_00324,LEG_000324,BATCH_5,2025-10-10,Failed,Y,legacy_A
MBR_00325,LEG_000325,BATCH_1,2025-12-30,Failed,Y,legacy_A
MBR_00326,LEG_000326,BATCH_3,2025-03-14,Failed,Y,legacy_A
MBR_00327,LEG_000327,BATCH_1,2024-08-13,Completed,N,legacy_B
MBR_00328,LEG_000328,BATCH_1,2025-03-11,Completed,N,legacy_B
MBR_00329,LEG_000329,BATCH_4,2025-09-20,Completed,Y,legacy_A
MBR_00330,LEG_000330,BATCH_5,2024-06-20,Completed,N,legacy_A
MBR_00331,LEG_000331,BATCH_5,2025-06-10,Failed,Y,legacy_A
MBR_00332,LEG_000332,BATCH_3,2025-07-08,Completed,Y,legacy_B
MBR_00333,LEG_000333,BATCH_2,2023-04-26,Failed,Y,legacy_A
MBR_00334,LEG_000334,BATCH_2,2024-04-26,Reprocessed,Y,legacy_A
MBR_00335,LEG_000335,BATCH_1,2025-04-29,Reprocessed,N,legacy_A
