violation_id,member_id,violation_type,violation_date,severity_level
VIO_14518,MBR_14518,Late Payment,2023-12-06,High
VIO_5315,MBR_05315,Late Payment,2023-08-21,High
VIO_7970,MBR_07970,Late Payment,2025-10-30,High
VIO_15023,MBR_15023,Fraud,2025-05-06,Low
VIO_7041,MBR_07041,Late Payment,2023-03-30,Medium
VIO_41432,MBR_41432,Late Payment,2023-06-01,High
VIO_17804,MBR_17804,Policy Abuse,2025-12-28,High
VIO_22639,MBR_22639,Fraud,2024-10-15,Medium
VIO_6525,MBR_06525,Policy Abuse,2023-04-28,High
VIO_7619,MBR_07619,Policy Abuse,2024-01-12,High
VIO_28252,MBR_28252,Policy Abuse,2023-05-31,High
VIO_35125,MBR_35125,Fraud,2025-11-29,Medium
VIO_38067,MBR_38067,Policy Abuse,2024-07-28,High
VIO_32361,MBR_32361,Fraud,2024-01-19,Medium
VIO_9657,MBR_09657,Policy Abuse,2025-01-16,Medium
VIO_36993,MBR_36993,Fraud,2025-04-23,High
VIO_14807,MBR_14807,Late Payment,2023-03-28,Medium
VIO_14502,MBR_14502,Fraud,2024-11-19,Medium
VIO_24593,MBR_24593,Late Payment,2023-07-05,High
VIO_38923,MBR_38923,Policy Abuse,2024-11-12,High
VIO_7818,MBR_07818,Policy Abuse,2023-02-01,Medium
VIO_13637,MBR_13637,Policy Abuse,2025-04-17,Medium
VIO_41857,MBR_41857,Late Payment,2024-11-28,Medium
VIO_37682,MBR_37682,Fraud,2023-12-24,Low
VIO_9856,MBR_09856,Fraud,2023-11-05,Low
VIO_34397,MBR_34397,Late Payment,2023-09-30,Medium
VIO_48337,MBR_48337,Late Payment,2024-10-06,Medium
VIO_5501,MBR_05501,Fraud,2023-05-10,Medium
VIO_3783,MBR_03783,Policy Abuse,2024-12-09,Low
VIO_13535,MBR_13535,Fraud,2024-04-13,Medium
VIO_7483,MBR_07483,Policy Abuse,2024-05-14,High
VIO_19091,MBR_19091,Fraud,2025-01-30,High
VIO_14310,MBR_14310,Fraud,2024-12-17,Low
VIO_20399,MBR_20399,Late Payment,2023-11-02,High
VIO_10059,MBR_10059,Late Payment,2024-10-03,High
VIO_21786,MBR_21786,Policy Abuse,2024-10-18,High
VIO_43519,MBR_43519,Late Payment,2023-08-30,Low
VIO_39190,MBR_39190,Fraud,2024-10-07,Medium
VIO_48031,MBR_48031,Fraud,2025-02-17,Low
VIO_17254,MBR_17254,Policy Abuse,2023-10-23,Low
VIO_10228,MBR_10228,Late Payment,2025-10-05,Medium
VIO_3679,MBR_03679,Fraud,2024-04-21,Low
VIO_41891,MBR_41891,Late Payment,2024-10-13,Medium
VIO_45546,MBR_45546,Fraud,2024-09-14,High
VIO_42780,MBR_42780,Late Payment,2025-02-28,High
VIO_42540,MBR_42540,Policy Abuse,2023-03-01,High
VIO_6590,MBR_06590,Fraud,2024-07-07,Medium
VIO_2590,MBR_02590,Late Payment,2025-08-29,Medium
VIO_33885,MBR_33885,Fraud,2025-07-28,Medium
VIO_17695,MBR_17695,Policy Abuse,2023-10-30,Low
VIO_10830,MBR_10830,Late Payment,2025-09-03,High
VIO_35290,MBR_35290,Policy Abuse,2024-09-17,Low
VIO_31299,MBR_31299,Policy Abuse,2023-04-01,High
VIO_19197,MBR_19197,Policy Abuse,2025-05-25,Medium
VIO_13639,MBR_13639,Late Payment,2023-10-12,Medium
VIO_5707,MBR_05707,Policy Abuse,2023-10-06,High
VIO_1994,MBR_01994,Late Payment,2024-03-11,Medium
VIO_40280,MBR_40280,Late Payment,2024-12-18,High
VIO_17323,MBR_17323,Policy Abuse,2024-07-08,High
VIO_6715,MBR_06715,Fraud,2023-07-02,Medium
VIO_10461,MBR_10461,Fraud,2024-07-30,Low
VIO_8927,MBR_08927,Late Payment,2023-09-23,Low
VIO_45889,MBR_45889,Late Payment,2024-11-16,High
VIO_34430,MBR_34430,Policy Abuse,2023-03-09,High
VIO_7453,MBR_07453,Fraud,2025-08-22,Medium
VIO_37489,MBR_37489,Policy Abuse,2025-02-13,Medium
VIO_30875,MBR_30875,Late Payment,2025-02-21,Medium
VIO_41914,MBR_41914,Fraud,2025-06-21,High
VIO_24627,MBR_24627,Policy Abuse,2024-05-26,High
VIO_1699,MBR_01699,Fraud,2025-09-21,Medium
VIO_13831,MBR_13831,Policy Abuse,2024-11-05,High
VIO_49766,MBR_49766,Policy Abuse,2023-09-04,Medium
VIO_11229,MBR_11229,Fraud,2025-11-07,Medium
VIO_2584,MBR_02584,Fraud,2025-03-07,Low
VIO_19081,MBR_19081,Fraud,2025-07-23,Low
VIO_42848,MBR_42848,Fraud,2025-08-21,Medium
VIO_1663,MBR_01663,Policy Abuse,2024-02-04,Medium
VIO_38221,MBR_38221,Fraud,2024-08-13,Low
VIO_40462,MBR_40462,Fraud,2024-07-15,High
VIO_32609,MBR_32609,Policy Abuse,2023-02-11,Medium
VIO_20763,MBR_20763,Fraud,2024-08-29,Medium
VIO_15540,MBR_15540,Policy Abuse,2023-03-31,Low
VIO_16399,MBR_16399,Policy Abuse,2024-09-14,Low
VIO_21795,MBR_21795,Policy Abuse,2025-02-17,Low
VIO_5201,MBR_05201,Late Payment,2025-05-22,Low
VIO_32549,MBR_32549,Fraud,2025-01-03,High
VIO_40631,MBR_40631,Late Payment,2025-12-22,High
VIO_15666,MBR_15666,Fraud,2024-10-11,Low
VIO_32528,MBR_32528,Policy Abuse,2025-08-09,Low
VIO_24604,MBR_24604,Policy Abuse,2025-11-30,High
VIO_19638,MBR_19638,Fraud,2024-05-17,Low
VIO_5749,MBR_05749,Fraud,2023-06-09,Low
VIO_41645,MBR_41645,Late Payment,2024-05-12,High
VIO_29129,MBR_29129,Policy Abuse,2023-05-14,High
VIO_4174,MBR_04174,Policy Abuse,2023-12-30,Medium
VIO_15988,MBR_15988,Policy Abuse,2025-11-06,High
VIO_15049,MBR_15049,Policy Abuse,2025-06-03,Medium
VIO_49734,MBR_49734,Policy Abuse,2024-04-18,Medium
VIO_48200,MBR_48200,Fraud,2024-09-14,Medium
VIO_4660,MBR_04660,Policy Abuse,2025-08-03,Medium
VIO_49159,MBR_49159,Policy Abuse,2023-01-24,Medium
VIO_44942,MBR_44942,Fraud,2023-07-29,Medium
VIO_1866,MBR_01866,Policy Abuse,2024-02-13,High
VIO_17258,MBR_17258,Fraud,2023-09-07,Medium
VIO_12429,MBR_12429,Late Payment,2023-02-13,Medium
VIO_7039,MBR_07039,Late Payment,2025-09-17,Low
VIO_16464,MBR_16464,Late Payment,2024-11-13,High
VIO_7082,MBR_07082,Policy Abuse,2025-05-06,High
VIO_19796,MBR_19796,Late Payment,2025-03-02,Low
VIO_22630,MBR_22630,Fraud,2025-06-06,High
VIO_28939,MBR_28939,Fraud,2023-01-06,Medium
VIO_22016,MBR_22016,Late Payment,2025-05-14,High
VIO_1227,MBR_01227,Fraud,2025-12-27,High
VIO_713,MBR_00713,Fraud,2025-09-12,High
VIO_16461,MBR_16461,Fraud,2023-11-17,High
VIO_24892,MBR_24892,Fraud,2025-09-26,High
VIO_39371,MBR_39371,Late Payment,2023-09-01,Low
VIO_12040,MBR_12040,Late Payment,2024-12-05,Medium
VIO_26112,MBR_26112,Policy Abuse,2023-12-20,High
VIO_44929,MBR_44929,Late Payment,2024-11-13,High
VIO_4340,MBR_04340,Fraud,2023-01-29,High
VIO_29592,MBR_29592,Late Payment,2023-01-10,High
VIO_45152,MBR_45152,Late Payment,2025-07-19,Low
VIO_33421,MBR_33421,Policy Abuse,2025-01-14,Low
VIO_2322,MBR_02322,Late Payment,2024-09-14,Medium
VIO_765,MBR_00765,Policy Abuse,2025-06-06,Medium
VIO_37885,MBR_37885,Policy Abuse,2024-03-02,Medium
VIO_43328,MBR_43328,Fraud,2025-03-21,High
VIO_2970,MBR_02970,Late Payment,2025-09-17,Medium
VIO_376,MBR_00376,Fraud,2025-01-18,High
VIO_3622,MBR_03622,Fraud,2025-06-29,Low
VIO_1981,MBR_01981,Policy Abuse,2025-11-03,Medium
VIO_18893,MBR_18893,Policy Abuse,2025-08-25,High
VIO_34911,MBR_34911,Policy Abuse,2024-05-20,Medium
VIO_40882,MBR_40882,Late Payment,2024-06-03,Low
VIO_27562,MBR_27562,Late Payment,2025-09-21,High
VIO_40780,MBR_40780,Fraud,2025-05-27,High
VIO_15280,MBR_15280,Policy Abuse,2025-02-20,Low
VIO_9820,MBR_09820,Policy Abuse,2023-04-09,Medium
VIO_8256,MBR_08256,Policy Abuse,2024-08-09,High
VIO_39791,MBR_39791,Fraud,2023-10-15,Low
VIO_4346,MBR_04346,Late Payment,2025-11-10,Medium
VIO_25796,MBR_25796,Policy Abuse,2023-01-02,Medium
VIO_6678,MBR_06678,Late Payment,2023-08-23,Medium
VIO_136,MBR_00136,Policy Abuse,2023-04-29,High
VIO_206,MBR_00206,Late Payment,2024-07-21,High
VIO_13174,MBR_13174,Fraud,2025-03-26,Low
VIO_41788,MBR_41788,Fraud,2025-05-10,Low
VIO_22059,MBR_22059,Policy Abuse,2023-11-23,Low
VIO_10045,MBR_10045,Policy Abuse,2023-03-20,Medium
VIO_47000,MBR_47000,Late Payment,2023-03-12,High
VIO_29730,MBR_29730,Fraud,2023-06-23,High
VIO_1077,MBR_01077,Fraud,2023-05-15,High
VIO_19436,MBR_19436,Late Payment,2024-02-06,High
VIO_15325,MBR_15325,Policy Abuse,2025-07-21,High
VIO_16369,MBR_16369,Policy Abuse,2025-06-12,Low
VIO_40825,MBR_40825,Policy Abuse,2025-11-29,High
VIO_48698,MBR_48698,Policy Abuse,2025-11-03,Medium
VIO_22939,MBR_22939,Late Payment,2024-01-08,Low
VIO_19847,MBR_19847,Late Payment,2024-06-02,High
VIO_42814,MBR_42814,Policy Abuse,2024-12-27,High
VIO_41435,MBR_41435,Policy Abuse,2024-01-19,Low
VIO_26673,MBR_26673,Fraud,2024-01-04,High
VIO_14339,MBR_14339,Policy Abuse,2024-07-18,High
VIO_48633,MBR_48633,Fraud,2023-06-02,Medium
VIO_21037,MBR_21037,Fraud,2023-12-22,High
VIO_49220,MBR_49220,Late Payment,2025-12-31,Low
VIO_43760,MBR_43760,Fraud,2023-03-22,High
VIO_32858,MBR_32858,Late Payment,2025-06-14,Low
VIO_41038,MBR_41038,Fraud,2023-08-21,Low
VIO_27499,MBR_27499,Fraud,2024-03-28,Low
VIO_2301,MBR_02301,Policy Abuse,2025-04-21,Medium
VIO_21042,MBR_21042,Late Payment,2023-01-06,Medium
VIO_19695,MBR_19695,Late Payment,2023-11-03,Low
VIO_17919,MBR_17919,Policy Abuse,2024-08-24,Medium
VIO_19558,MBR_19558,Policy Abuse,2024-12-16,Low
VIO_9830,MBR_09830,Fraud,2024-10-23,High
VIO_45837,MBR_45837,Late Payment,2023-08-08,High
VIO_8729,MBR_08729,Fraud,2025-09-17,Medium
VIO_20563,MBR_20563,Fraud,2025-09-17,High
VIO_16398,MBR_16398,Fraud,2025-11-21,High
VIO_13682,MBR_13682,Late Payment,2024-08-16,Low
VIO_39391,MBR_39391,Late Payment,2024-08-21,High
VIO_10734,MBR_10734,Policy Abuse,2025-03-03,High
VIO_18650,MBR_18650,Policy Abuse,2025-04-21,Low
VIO_39288,MBR_39288,Policy Abuse,2023-11-24,Medium
VIO_33088,MBR_33088,Fraud,2023-04-20,Low
VIO_39582,MBR_39582,Late Payment,2024-03-09,High
VIO_37686,MBR_37686,Late Payment,2024-10-02,High
VIO_3127,MBR_03127,Late Payment,2024-09-25,High
VIO_25735,MBR_25735,Fraud,2023-09-23,Medium
VIO_47581,MBR_47581,Fraud,2025-09-10,Medium
VIO_36459,MBR_36459,Fraud,2024-02-20,Low
VIO_39946,MBR_39946,Policy Abuse,2025-09-29,Low
VIO_40708,MBR_40708,Late Payment,2025-10-10,Low
VIO_15945,MBR_15945,Fraud,2023-01-08,Medium
VIO_37739,MBR_37739,Policy Abuse,2024-04-26,Low
VIO_46149,MBR_46149,Fraud,2023-04-01,High
VIO_20328,MBR_20328,Late Payment,2025-03-28,High
VIO_26719,MBR_26719,Late Payment,2025-07-07,High
VIO_36743,MBR_36743,Policy Abuse,2025-01-02,High
VIO_41916,MBR_41916,Late Payment,2025-02-02,Medium
VIO_32067,MBR_32067,Fraud,2025-01-08,Medium
VIO_21809,MBR_21809,Fraud,2023-05-26,Low
VIO_48222,MBR_48222,Policy Abuse,2024-05-31,Low
VIO_47038,MBR_47038,Late Payment,2023-03-30,Medium
VIO_48777,MBR_48777,Policy Abuse,2024-11-25,Medium
VIO_34495,MBR_34495,Policy Abuse,2024-09-22,Medium
VIO_17437,MBR_17437,Late Payment,2023-03-29,Low
VIO_24148,MBR_24148,Fraud,2024-03-20,Medium
VIO_12048,MBR_12048,Fraud,2025-10-25,High
VIO_17898,MBR_17898,Fraud,2025-12-10,Low
VIO_5409,MBR_05409,Fraud,2024-07-14,Medium
VIO_20463,MBR_20463,Policy Abuse,2025-08-03,Medium
VIO_25912,MBR_25912,Late Payment,2024-12-21,High
VIO_30163,MBR_30163,Fraud,2024-01-29,High
VIO_14610,MBR_14610,Fraud,2025-05-16,Medium
VIO_47064,MBR_47064,Fraud,2025-03-03,High
VIO_3847,MBR_03847,Fraud,2023-08-29,High
VIO_11959,MBR_11959,Late Payment,2024-06-02,Medium
VIO_4894,MBR_04894,Fraud,2023-12-19,High
VIO_29748,MBR_29748,Late Payment,2025-02-24,High
VIO_15843,MBR_15843,Fraud,2024-12-20,Low
VIO_33032,MBR_33032,Policy Abuse,2025-02-25,Low
VIO_19490,MBR_19490,Fraud,2024-07-04,Low
VIO_890,MBR_00890,Late Payment,2025-06-17,Low
VIO_1899,MBR_01899,Policy Abuse,2023-05-04,Low
VIO_8399,MBR_08399,Policy Abuse,2024-01-16,Low
VIO_28778,MBR_28778,Policy Abuse,2023-04-21,High
VIO_27021,MBR_27021,Fraud,2024-05-04,High
VIO_8330,MBR_08330,Policy Abuse,2023-02-03,High
VIO_37447,MBR_37447,Fraud,2023-03-05,High
VIO_29301,MBR_29301,Policy Abuse,2024-04-18,High
VIO_6124,MBR_06124,Policy Abuse,2024-04-18,Low
VIO_40666,MBR_40666,Fraud,2023-12-16,Low
VIO_1801,MBR_01801,Late Payment,2025-02-21,Medium
VIO_5826,MBR_05826,Fraud,2023-03-08,High
VIO_44973,MBR_44973,Fraud,2023-08-16,High
VIO_26044,MBR_26044,Policy Abuse,2024-05-30,Low
VIO_39020,MBR_39020,Late Payment,2025-09-25,High
VIO_6162,MBR_06162,Late Payment,2025-08-11,High
VIO_26468,MBR_26468,Late Payment,2024-12-12,Low
VIO_36360,MBR_36360,Policy Abuse,2025-09-26,Low
VIO_39070,MBR_39070,Fraud,2025-12-09,Medium
VIO_15532,MBR_15532,Fraud,2025-03-12,Medium
VIO_4620,MBR_04620,Fraud,2024-10-30,High
VIO_40792,MBR_40792,Fraud,2023-03-19,Medium
VIO_1093,MBR_01093,Fraud,2024-09-29,Low
VIO_22833,MBR_22833,Policy Abuse,2024-09-23,Low
VIO_32984,MBR_32984,Fraud,2023-10-01,High
VIO_46574,MBR_46574,Late Payment,2024-11-03,Low
VIO_44530,MBR_44530,Policy Abuse,2023-03-08,Medium
VIO_17564,MBR_17564,Policy Abuse,2023-09-28,Medium
VIO_149,MBR_00149,Fraud,2025-09-07,Low
VIO_35764,MBR_35764,Late Payment,2025-05-21,Medium
VIO_18021,MBR_18021,Policy Abuse,2023-07-26,Low
VIO_21845,MBR_21845,Late Payment,2024-11-01,Low
VIO_30181,MBR_30181,Policy Abuse,2024-08-04,High
VIO_32238,MBR_32238,Late Payment,2024-12-17,Low
VIO_32659,MBR_32659,Policy Abuse,2024-01-03,Medium
VIO_18462,MBR_18462,Late Payment,2023-11-10,Low
VIO_47144,MBR_47144,Late Payment,2024-06-09,High
VIO_3966,MBR_03966,Policy Abuse,2023-10-28,Low
VIO_46649,MBR_46649,Late Payment,2023-07-08,Medium
VIO_14855,MBR_14855,Policy Abuse,2024-05-29,High
VIO_25790,MBR_25790,Policy Abuse,2025-12-05,Medium
VIO_26603,MBR_26603,Late Payment,2024-02-10,Low
VIO_10620,MBR_10620,Policy Abuse,2023-11-30,High
VIO_17971,MBR_17971,Late Payment,2023-12-23,High
VIO_41574,MBR_41574,Fraud,2025-11-12,High
VIO_49561,MBR_49561,Fraud,2024-05-23,Low
VIO_30661,MBR_30661,Late Payment,2024-03-19,High
VIO_16046,MBR_16046,Late Payment,2025-04-08,Low
VIO_16374,MBR_16374,Late Payment,2024-03-17,Low
VIO_39512,MBR_39512,Late Payment,2025-12-19,Medium
VIO_37395,MBR_37395,Late Payment,2023-04-19,Medium
VIO_6171,MBR_06171,Late Payment,2023-06-23,High
VIO_44284,MBR_44284,Policy Abuse,2023-07-14,High
VIO_35067,MBR_35067,Policy Abuse,2025-02-09,Medium
VIO_20449,MBR_20449,Fraud,2024-01-19,Low
VIO_15591,MBR_15591,Policy Abuse,2025-04-11,Medium
VIO_26798,MBR_26798,Late Payment,2023-04-08,Low
VIO_34875,MBR_34875,Late Payment,2025-11-04,High
VIO_44844,MBR_44844,Fraud,2024-03-02,Low
VIO_9127,MBR_09127,Policy Abuse,2023-08-17,Low
VIO_6006,MBR_06006,Late Payment,2024-04-19,Medium
VIO_18083,MBR_18083,Late Payment,2025-02-06,Medium
VIO_6555,MBR_06555,Fraud,2023-07-14,High
VIO_9310,MBR_09310,Late Payment,2025-07-20,Medium
VIO_36361,MBR_36361,Fraud,2024-01-16,Low
VIO_36029,MBR_36029,Policy Abuse,2024-03-06,Medium
VIO_3646,MBR_03646,Fraud,2023-11-29,High
VIO_30668,MBR_30668,Fraud,2023-11-18,Low
VIO_2530,MBR_02530,Late Payment,2023-03-22,Low
VIO_27810,MBR_27810,Policy Abuse,2023-05-06,High
VIO_34625,MBR_34625,Policy Abuse,2025-10-09,Medium
VIO_8907,MBR_08907,Fraud,2024-05-26,High
VIO_22657,MBR_22657,Policy Abuse,2024-01-07,Medium
VIO_14457,MBR_14457,Late Payment,2024-03-26,Medium
VIO_4758,MBR_04758,Policy Abuse,2024-10-03,High
VIO_16172,MBR_16172,Late Payment,2023-12-01,High
VIO_35380,MBR_35380,Fraud,2025-06-06,Medium
VIO_18554,MBR_18554,Policy Abuse,2023-04-04,Low
VIO_48955,MBR_48955,Fraud,2025-06-20,High
VIO_4440,MBR_04440,Policy Abuse,2023-05-22,Low
VIO_10903,MBR_10903,Policy Abuse,2024-12-27,Medium
VIO_18170,MBR_18170,Late Payment,2025-05-25,Low
VIO_26452,MBR_26452,Fraud,2023-02-14,Low
VIO_31716,MBR_31716,Fraud,2024-05-20,High
VIO_2756,MBR_02756,Late Payment,2025-01-24,Medium
VIO_17553,MBR_17553,Policy Abuse,2025-04-01,Low
VIO_8671,MBR_08671,Late Payment,2023-03-17,Low
VIO_26796,MBR_26796,Policy Abuse,2023-06-03,Low
VIO_728,MBR_00728,Policy Abuse,2023-09-05,Low
VIO_34632,MBR_34632,Late Payment,2025-02-25,High
VIO_32063,MBR_32063,Late Payment,2023-04-21,Medium
VIO_24016,MBR_24016,Late Payment,2025-12-25,Low
VIO_23387,MBR_23387,Policy Abuse,2024-04-09,High
VIO_26214,MBR_26214,Late Payment,2023-01-22,Medium
VIO_5114,MBR_05114,Policy Abuse,2024-10-16,High
VIO_13289,MBR_13289,Late Payment,2023-12-01,Low
VIO_8386,MBR_08386,Late Payment,2023-11-13,High
VIO_48941,MBR_48941,Policy Abuse,2024-08-10,Low
VIO_4455,MBR_04455,Late Payment,2025-01-19,Low
VIO_7999,MBR_07999,Late Payment,2025-07-02,Medium
VIO_39654,MBR_39654,Fraud,2023-07-18,High
VIO_20496,MBR_20496,Late Payment,2024-10-01,Medium
VIO_37996,MBR_37996,Fraud,2025-04-22,Low
VIO_37630,MBR_37630,Policy Abuse,2024-05-05,Low
VIO_29508,MBR_29508,Late Payment,2024-04-29,Low
VIO_7944,MBR_07944,Fraud,2023-07-28,Low
VIO_45175,MBR_45175,Fraud,2024-03-01,Medium
VIO_31496,MBR_31496,Fraud,2023-09-25,Medium
VIO_10137,MBR_10137,Fraud,2025-05-12,Medium
VIO_45584,MBR_45584,Late Payment,2023-03-07,Low
VIO_14996,MBR_14996,Late Payment,2024-04-07,Low
VIO_19262,MBR_19262,Late Payment,2025-08-31,High
VIO_44894,MBR_44894,Fraud,2024-06-20,Low
VIO_9400,MBR_09400,Policy Abuse,2023-12-17,High
VIO_47060,MBR_47060,Late Payment,2025-06-30,Medium
VIO_37767,MBR_37767,Late Payment,2025-02-13,Low
VIO_11143,MBR_11143,Fraud,2024-02-28,High
VIO_35750,MBR_35750,Fraud,2023-04-09,Medium
VIO_34925,MBR_34925,Late Payment,2025-10-14,Low
VIO_26709,MBR_26709,Policy Abuse,2023-11-14,Low
VIO_42310,MBR_42310,Fraud,2025-01-26,Low
VIO_15979,MBR_15979,Late Payment,2024-04-10,Low
VIO_8747,MBR_08747,Late Payment,2025-08-22,Medium
VIO_40191,MBR_40191,Fraud,2024-03-14,Medium
VIO_32074,MBR_32074,Late Payment,2025-09-25,Medium
VIO_12202,MBR_12202,Policy Abuse,2025-03-09,High
VIO_42876,MBR_42876,Late Payment,2024-03-18,Medium
VIO_9518,MBR_09518,Fraud,2023-05-25,Low
VIO_20002,MBR_20002,Policy Abuse,2025-06-25,Medium
VIO_37112,MBR_37112,Late Payment,2023-04-22,Low
VIO_3343,MBR_03343,Late Payment,2025-06-30,High
VIO_12361,MBR_12361,Policy Abuse,2024-09-10,Low
VIO_21258,MBR_21258,Policy Abuse,2023-06-25,High
VIO_46897,MBR_46897,Late Payment,2025-01-20,Low
VIO_12491,MBR_12491,Fraud,2025-05-03,High
VIO_8840,MBR_08840,Policy Abuse,2023-02-08,Medium
VIO_7596,MBR_07596,Fraud,2023-09-07,Medium
VIO_31115,MBR_31115,Late Payment,2025-08-06,High
VIO_38971,MBR_38971,Late Payment,2023-12-05,Medium
VIO_7912,MBR_07912,Fraud,2024-12-07,High
VIO_37149,MBR_37149,Fraud,2023-06-28,High
VIO_1162,MBR_01162,Policy Abuse,2025-10-15,Low
VIO_17939,MBR_17939,Policy Abuse,2025-11-08,Medium
VIO_19449,MBR_19449,Late Payment,2025-05-12,Medium
VIO_9931,MBR_09931,Fraud,2024-01-20,Medium
VIO_49683,MBR_49683,Late Payment,2023-12-28,Low
VIO_20951,MBR_20951,Late Payment,2023-09-24,Medium
VIO_9716,MBR_09716,Late Payment,2025-03-26,Medium
VIO_31945,MBR_31945,Policy Abuse,2025-09-30,Low
VIO_46690,MBR_46690,Fraud,2025-08-17,High
VIO_21536,MBR_21536,Policy Abuse,2024-10-18,Low
VIO_42639,MBR_42639,Late Payment,2025-04-17,High
VIO_27347,MBR_27347,Fraud,2025-07-11,Low
VIO_23488,MBR_23488,Late Payment,2024-12-23,High
VIO_5803,MBR_05803,Policy Abuse,2023-05-19,High
VIO_33185,MBR_33185,Fraud,2024-05-18,High
VIO_24255,MBR_24255,Policy Abuse,2025-10-19,High
VIO_4888,MBR_04888,Fraud,2023-07-13,High
VIO_37668,MBR_37668,Policy Abuse,2025-07-19,Low
VIO_6905,MBR_06905,Policy Abuse,2024-03-25,High
VIO_19641,MBR_19641,Policy Abuse,2023-06-14,Low
VIO_16624,MBR_16624,Policy Abuse,2024-04-19,Medium
VIO_39836,MBR_39836,Late Payment,2025-02-08,Medium
VIO_440,MBR_00440,Late Payment,2025-06-14,Low
VIO_11541,MBR_11541,Policy Abuse,2025-10-01,Low
VIO_48673,MBR_48673,Fraud,2025-02-23,Medium
VIO_13415,MBR_13415,Fraud,2025-03-20,Low
VIO_31742,MBR_31742,Fraud,2024-12-23,Low
VIO_37823,MBR_37823,Policy Abuse,2023-07-07,Low
VIO_9680,MBR_09680,Fraud,2024-04-22,Low
VIO_14602,MBR_14602,Fraud,2025-09-13,High
VIO_26042,MBR_26042,Late Payment,2025-10-19,High
VIO_32807,MBR_32807,Policy Abuse,2024-11-07,High
VIO_33732,MBR_33732,Fraud,2023-08-04,High
VIO_4085,MBR_04085,Fraud,2024-03-22,Medium
